iter	Passed	Remaining
418	2598	3602
419	2604	3596
420	2609	3588
421	2615	3582
422	2621	3575
423	2626	3567
424	2632	3561
425	2638	3554
426	2643	3547
427	2649	3540
428	2654	3533
429	2659	3525
430	2665	3518
431	2670	3511
432	2675	3503
433	2681	3496
434	2686	3489
435	2691	3482
436	2697	3475
437	2702	3467
438	2708	3460
439	2713	3453
440	2718	3446
441	2724	3439
442	2729	3432
443	2735	3426
444	2741	3419
445	2747	3412
446	2752	3405
447	2758	3398
448	2764	3392
449	2769	3385
450	2775	3378
451	2780	3371
452	2786	3364
453	2791	3357
454	2797	3350
455	2802	3343
456	2807	3336
457	2813	3329
458	2818	3322
459	2824	3315
460	2829	3308
461	2835	3301
462	2840	3294
463	2846	3287
464	2851	3281
465	2857	3273
466	2863	3267
467	2868	3260
468	2873	3253
469	2879	3246
470	2884	3240
471	2889	3232
472	2897	3228
473	2903	3221
474	2909	3215
475	2915	3209
476	2923	3205
477	2931	3201
478	2941	3199
479	2951	3197
480	2963	3197
481	2975	3197
482	2984	3195
483	2992	3190
484	2999	3184
485	3006	3180
486	3014	3175
487	3024	3173
488	3032	3168
489	3040	3164
490	3050	3162
491	3061	3161
492	3068	3155
493	3081	3155
494	3091	3154
495	3099	3149
496	3106	3144
497	3114	3139
498	3119	3132
499	3126	3126
500	3132	3119
501	3137	3112
502	3144	3107
503	3150	3100
504	3156	3093
505	3161	3086
506	3167	3080
507	3173	3073
508	3178	3066
509	3184	3059
510	3191	3053
511	3198	3048
512	3205	3042
513	3212	3037
514	3219	3031
515	3226	3025
516	3233	3020
517	3240	3014
518	3245	3007
519	3252	3002
520	3260	2997
521	3267	2992
522	3274	2986
523	3282	2981
524	3291	2977
525	3298	2972
526	3305	2966
527	3312	2960
528	3319	2955
529	3325	2949
530	3333	2943
531	3339	2938
532	3346	2932
533	3353	2926
534	3360	2920
535	3367	2915
536	3374	2909
537	3381	2903
538	3387	2897
539	3394	2891
540	3400	2885
541	3405	2878
542	3411	2870
543	3417	2864
544	3423	2857
545	3428	2850
546	3434	2844
547	3439	2837
548	3444	2829
549	3450	2822
550	3457	2817
551	3462	2810
552	3468	2803
553	3473	2796
554	3478	2789
555	3485	2783
556	3491	2776
557	3497	2770
558	3502	2763
559	3507	2756
560	3513	2749
561	3519	2742
562	3525	2736
563	3531	2729
564	3536	2722
565	3541	2715
566	3548	2709
567	3554	2703
568	3565	2700
569	3575	2696
570	3585	2693
571	3596	2690
572	3603	2684
573	3608	2677
574	3614	2671
575	3620	2665
576	3626	2658
