iter	Logloss
0	0.6508964842
1	0.6144506519
2	0.5821681551
3	0.5456277366
4	0.5139743275
5	0.4874892531
6	0.4593957884
7	0.4379584062
8	0.4147138021
9	0.3964982097
10	0.3795268962
11	0.3623115265
12	0.3444972458
13	0.3293595052
14	0.3164154941
15	0.3025704059
16	0.2903553722
17	0.2796758692
18	0.2700638288
19	0.2608504467
20	0.253564394
21	0.2449199012
22	0.2376607942
23	0.2308127075
24	0.2237098166
25	0.2177152706
26	0.2122428329
27	0.2069463834
28	0.2027260757
29	0.1983547214
30	0.1939197918
31	0.1897599288
32	0.1859653594
33	0.182568987
34	0.1793807178
35	0.1762126025
36	0.1738989846
37	0.1714795326
38	0.1691966552
39	0.1666935381
40	0.1644938555
41	0.1620869058
42	0.1596738616
43	0.1575701389
44	0.1552816492
45	0.1532403338
46	0.1514652815
47	0.14970967
48	0.1479950109
49	0.1465698418
50	0.1450171353
51	0.1437439411
52	0.1420325134
53	0.1405832243
54	0.1395700489
55	0.1386601577
56	0.1375626281
57	0.1365212305
58	0.1352953656
59	0.1342286459
60	0.1328881693
61	0.1320860505
62	0.1312862234
63	0.1303326517
64	0.1295051401
65	0.1287923693
66	0.1277772636
67	0.1271400784
68	0.1263957576
69	0.1253112067
70	0.1247458659
71	0.1240014463
72	0.123547787
73	0.1228446283
74	0.1219617695
75	0.1214334114
76	0.120957459
77	0.1203369877
78	0.1197583365
79	0.1189945915
80	0.1185687852
81	0.1181598066
82	0.1176925698
83	0.1170178791
84	0.1163101176
85	0.1157135217
86	0.1152242627
87	0.1147404443
88	0.1141571307
89	0.1135618561
90	0.1131378383
91	0.1127511139
92	0.1122148387
93	0.1117586928
94	0.1113008041
95	0.1108650551
96	0.1105573913
97	0.1100122937
98	0.1096794446
99	0.1093078378
100	0.1088364392
101	0.1084308199
102	0.1080467223
103	0.1075859212
104	0.1073047742
105	0.107043043
106	0.1067563948
107	0.1063463838
108	0.1058992827
109	0.1055616671
110	0.1051754281
111	0.104909143
112	0.1045987378
113	0.1043354514
114	0.1038751654
115	0.1037096921
116	0.1033551825
117	0.1031076589
118	0.1029027612
119	0.1027295553
120	0.1024753727
121	0.1023012616
122	0.1019592091
123	0.1016399167
124	0.1012836642
125	0.1009057084
126	0.1006555209
127	0.1003409362
128	0.1001325993
129	0.09983281617
130	0.09964226618
131	0.09946967425
132	0.09929470783
133	0.09912323015
134	0.09895980314
135	0.09867673752
136	0.09842069992
137	0.0981994996
138	0.09801041082
139	0.09781409695
140	0.09752841052
141	0.09726228282
142	0.09703064754
143	0.09683384545
144	0.09667011856
145	0.09642447249
146	0.09627775571
147	0.09612660351
148	0.09594648974
149	0.09580717536
150	0.09562134969
151	0.09543233613
152	0.09532737452
153	0.09518383997
154	0.09504540337
155	0.09490673947
156	0.09476192887
157	0.09463537772
158	0.09448505333
159	0.09424197468
160	0.0940847967
161	0.09392029894
162	0.09374595626
163	0.09355427352
164	0.09338535098
165	0.09324355407
166	0.09302437829
167	0.09289894819
168	0.09280477795
169	0.09258861946
170	0.09241713402
171	0.09232568751
172	0.09222858137
173	0.09207917418
174	0.09180919163
175	0.09169242716
176	0.09147923023
177	0.09136542974
178	0.09119917899
179	0.09105956032
180	0.09095855756
181	0.09070401935
182	0.09064037835
183	0.09053570787
184	0.09035072075
185	0.09022285541
186	0.0900990959
187	0.09001243214
188	0.08988942951
189	0.08978291634
190	0.08971472172
191	0.08962891457
192	0.08944840053
193	0.08927769907
194	0.089185319
195	0.08912694026
196	0.08905243812
197	0.08892898355
198	0.0887756237
199	0.08864242504
200	0.08855058397
201	0.08849998423
202	0.08836849482
203	0.08825168385
204	0.08813413405
205	0.08798936493
206	0.08783093126
207	0.0877615679
208	0.08763102178
209	0.08756683027
210	0.08746566499
211	0.08736850046
212	0.08727536662
213	0.08720874957
214	0.08712792774
215	0.08691980294
216	0.08676663592
217	0.08662722681
218	0.08650084477
219	0.08637508548
220	0.08624206269
221	0.08608715935
222	0.08599356547
223	0.08592594866
224	0.08586944901
225	0.08579726261
226	0.08571173056
227	0.08566025205
228	0.08557347326
229	0.08547711102
230	0.08546528627
231	0.08536747129
232	0.0852973304
233	0.08524576534
234	0.08518345699
235	0.08508524324
236	0.08504958489
237	0.08491370863
238	0.08477074572
239	0.08470010961
240	0.08464821185
241	0.08459594846
242	0.0844840804
243	0.08434844618
244	0.08429160995
245	0.08419438722
246	0.08415441218
247	0.08407991409
248	0.08394574525
249	0.08385940019
250	0.08372444489
251	0.08366329015
252	0.08360311634
253	0.08347967531
254	0.08343576198
255	0.08334779164
256	0.0832280356
257	0.08313828781
258	0.08305143924
259	0.08295799603
260	0.08288476991
261	0.08280858412
262	0.08274127759
263	0.08262587431
264	0.08251040783
265	0.08246040099
266	0.08237975127
267	0.08221565079
268	0.082103317
269	0.08191835663
270	0.08191427153
271	0.0818055376
272	0.08169666157
273	0.08163853459
274	0.0814952426
275	0.08144236091
276	0.08139576895
277	0.08136960536
278	0.08130670278
279	0.0812346419
280	0.08108230908
281	0.08086013221
282	0.08074672457
283	0.08067916217
284	0.08057110173
285	0.08047315561
286	0.08039620249
287	0.08030401887
288	0.08013189376
289	0.08000158744
290	0.07994020376
291	0.0798994539
292	0.07978993373
293	0.0797101607
294	0.07966506293
295	0.07959266024
296	0.07953634128
297	0.07943158842
298	0.07934597574
299	0.07921299993
300	0.07908777118
301	0.07898369285
302	0.07892867009
303	0.07887038114
304	0.07880272286
305	0.07868523978
306	0.07860427938
307	0.07855330679
308	0.07848148646
309	0.07837322498
310	0.07831952435
311	0.07823930475
312	0.078131814
313	0.07803552092
314	0.07797087175
315	0.07789097663
316	0.07776445389
317	0.07769180253
318	0.07761458271
319	0.07756530124
320	0.07749554015
321	0.0774271211
322	0.07733247227
323	0.07728262518
324	0.07721523268
325	0.07711302003
326	0.07705416171
327	0.07700411448
328	0.07687326969
329	0.07684433876
330	0.07676945668
331	0.07673534219
332	0.07666639113
333	0.07660234305
334	0.076562555
335	0.07650243469
336	0.07644178031
337	0.07637363138
338	0.07624920842
339	0.07616802311
340	0.07608809353
341	0.07601835157
342	0.07591450421
343	0.07583928207
344	0.07578027408
345	0.07570652421
346	0.07560887195
347	0.07550788947
348	0.07540291262
349	0.07527460081
350	0.07516402474
351	0.07511811903
352	0.0750770621
353	0.07502529916
354	0.07496501319
355	0.07478734495
356	0.07470991132
357	0.07467176172
358	0.07459331242
359	0.07447937253
360	0.07442830386
361	0.0743548108
362	0.07430132317
363	0.07421333848
364	0.07413987304
365	0.07410638743
366	0.07405542862
367	0.07399085319
368	0.07392815555
369	0.07387824035
370	0.07381698341
371	0.07375056721
372	0.07368369734
373	0.07354612723
374	0.07346818799
375	0.07340850733
376	0.07334648461
377	0.07330414821
378	0.07320082211
379	0.07309696003
380	0.07301447026
381	0.07292296635
382	0.072876488
383	0.07281953185
384	0.0727741441
385	0.072710355
386	0.0726615261
387	0.07261568069
388	0.07257355128
389	0.07247603311
390	0.07240303986
391	0.07234682407
392	0.07228797212
393	0.07224700779
394	0.07216929034
395	0.07205670056
396	0.07200798735
397	0.07195922281
398	0.07186733489
399	0.07177896669
400	0.07173066401
401	0.07167408692
402	0.07159577335
403	0.0715334398
404	0.07148190777
405	0.07146200226
406	0.07138627581
407	0.07134430407
408	0.07128483397
409	0.07121401307
410	0.07116179173
411	0.07113679899
412	0.07108235776
413	0.07102336205
414	0.07094766576
415	0.07091137135
416	0.07078903155
417	0.07066414332
418	0.07059756744
419	0.07049877182
420	0.07044172071
421	0.07038660054
422	0.07031090717
423	0.07023664452
424	0.07018150381
425	0.07007986719
426	0.07001624485
427	0.06995004227
428	0.06989360965
429	0.06982361698
430	0.06975428342
431	0.06968996623
432	0.06958297889
433	0.06949004683
434	0.06942722852
435	0.06937351754
436	0.06934099874
437	0.06928986879
438	0.06921121211
439	0.06915032364
440	0.06909646335
441	0.06905134982
442	0.06900848634
443	0.06894051712
444	0.06887983678
